"ConState","Year","AllLabourInsR","InsEmpR","InsUnempR","AllLabourOutR","AllLabourInsU","InsEmpU","InsUnempU","AllLabourOutU"
"Sarawak",1987,590.6,536.3,54.2,143.9,121.6,105.7,15.9,55.1
"Selangor",1987,602.8,566.9,35.9,304.1,313.8,298.1,15.7,150.3
"Terengganu",1987,142.1,128,14,62.2,94.4,80.9,13.5,54.8
"W.P Labuan",1987,6.6,5.8,0.7,4.1,7.1,6.5,0.6,3.3
"Johor",1988,575.1,545,30.1,265.2,262,247,15,131.3
"Kedah",1988,430.9,397.8,33.1,257.1,65.2,61.5,3.8,38.7
"Kelantan",1988,283.6,261.4,22.2,126.4,110.4,102,8.4,64.8
"Melaka",1988,152.3,139.9,12.4,93.1,38.6,35.5,3.2,22.3
"N. Sembilan",1988,163,154.1,8.9,84,79.5,73.9,5.6,42.3
"P. Pinang",1988,241,224.2,16.8,148.9,186.8,174.7,12,111.7
"Pahang",1988,276.7,259.3,17.4,130.4,98.1,92.2,5.9,55.5
"Perak",1988,462.4,424.5,37.9,262.4,252.6,232.3,20.3,136.8
"Perlis",1988,63.7,58.5,5.2,46.2,7.2,7,0.2,3.7
"Sabah",1988,382.5,351.9,30.6,195.8,80.1,72.7,7.3,46
"Sarawak",1988,588,529.4,58.6,141.7,122.4,107.8,14.6,59.7
"Selangor",1988,619.6,580.4,39.2,307.6,329.4,312.6,16.7,167.3
"Terengganu",1988,148,135.7,12.3,59.3,105.6,94.1,11.5,53.2
"W.P Labuan",1988,7.2,6.3,0.9,4.4,6.6,6,0.6,3.5
"Johor",1989,596.6,570.9,25.7,301,265.2,251.4,13.8,138.3
"Kedah",1989,409.7,386.8,22.9,250.8,60.3,56.5,3.8,38
"Kelantan",1989,282.8,266.1,16.7,159.1,105.6,97.7,7.9,64.5
"Melaka",1989,155.1,145.6,9.5,89.2,42.7,40.3,2.4,23.8
"N. Sembilan",1989,158,149.2,8.8,81.3,83,80,3,43.7
"P. Pinang",1989,255,245.3,9.6,139.2,198.9,190.9,8,113.1
"Pahang",1989,291.2,280.8,10.4,157.1,102.7,98.3,4.3,53.5
"Perak",1989,479.9,454,25.9,282.9,246.6,232.8,13.9,142.2
"Perlis",1989,64.8,60.6,4.2,42.8,6.1,5.8,0.3,3.3
"Sabah",1989,382.6,355.7,26.9,194.8,94.9,86.6,8.3,54.7
"Sarawak",1989,634.9,578.5,56.4,157.2,125.1,108.6,16.5,59.7
"Selangor",1989,603.6,576.9,26.7,316.5,333.2,323.3,9.8,161.5
"Terengganu",1989,160.7,141.7,19,67.3,101.4,88.2,13.2,55.8
"W.P Labuan",1989,7.5,6.7,0.8,5.1,7.2,6.7,0.5,4
"Johor",1990,690.5,665.7,24.7,323.2,258.7,248.3,10.3,126.4
"Kedah",1990,432.4,413,19.4,266.9,56.9,54.7,2.2,34.1
"Kelantan",1990,285.8,277.3,8.5,153.4,104.9,100.4,4.5,66.7
"Melaka",1990,145.3,139.6,5.6,85.2,42.6,40.4,2.2,21.5
"N. Sembilan",1990,152.2,146.2,6,86.2,72.2,69.8,2.4,38.3
"P. Pinang",1990,268.9,261,7.9,135.9,201.4,196.2,5.2,104
"Pahang",1990,328.5,318.7,9.7,185,114.1,110.1,4,60.3
"Perak",1990,476,455.6,20.4,273.6,230.8,222.6,8.2,130
"Perlis",1990,54.6,52.2,2.4,40.1,5.1,4.9,0.1,2.1
"Sabah",1990,377.9,345.9,32,210.2,102,91,11,60.5
"Sarawak",1990,640.2,583.6,56.6,159.6,135.2,115.2,19.9,67.4
"Selangor",1990,675,661.7,13.3,341.8,385,377.7,7.3,173.1
"Terengganu",1990,140.5,132.5,8.1,61,104,95.2,8.9,56.5
"W.P Labuan",1990,7,6.4,0.6,5.4,8.7,8.4,0.3,3.9
"Johor",1992,440.1,430.6,9.5,217.9,507,495.4,11.6,236.1
"Kedah",1992,329,314.4,14.5,204,185,180.6,4.4,101.6
"Kelantan",1992,263.9,248.5,15.4,150.5,140.2,134,6.2,77.7
"Melaka",1992,124.5,120.2,4.3,68.9,89.9,87.2,2.7,47.1
"N. Sembilan",1992,142.3,138.1,4.2,79.4,117.5,113.3,4.2,66.6
"P. Pinang",1992,112.9,110.3,2.6,73.3,408.6,402.4,6.2,220.3
"Pahang",1992,282.9,275.8,7.1,160.4,146,141.2,4.8,75.1
"Perak",1992,308,295.1,12.9,177.4,411.6,397.8,13.8,262.2
"Perlis",1992,49.4,47.7,1.7,32.8,19.4,19.2,0.2,10.7
"Sabah",1992,353.8,335.1,18.7,173.9,170.5,156.4,14.1,107.1
"Sarawak",1992,463.6,427.4,36.2,137.8,307.5,283.9,23.7,152.6
"Selangor",1992,220.3,214.8,5.5,127.2,872.5,854.8,17.6,397.1
"Terengganu",1992,147.5,140,7.6,73.2,120.2,113,7.2,70.1
"W.P Labuan",1992,7.2,7,0.3,5.2,8.2,7.9,0.2,4.3
