"ConState","Year","TotInsLabour","InsLabEmp","InsLabUnemp","TotOutLabour","TotInsLabourM","InsLabEmpM","InsLabUnempM","TotOutLabourM","TotInsLabourF","InsLabEmpF","InsLabUnempF","TotOutLabourF","AllTotalWorkForce","SubTotWorkForce","BumiWorkForce","ChineseWorkForce","IndianWorkForce","OtherWorkForce","SubTotForeignWorkForce"
"P. Pinang",1984,397.9,383.7,14.2,245.8,267.346,257.473,9.873,51.633,130.5,126.2,4.3,194.2,397.9,394.2,130.8,216.8,44.8,1.9,3.6
"Pahang",1984,321.7,306.9,14.8,162.9,218.9,211,7.9,29.9,102.8,95.9,7,133,321.7,314.6,200.6,85.8,27.1,1,7.2
"Perak",1984,697.2,659.6,37.7,377,442,419.9,22.1,79.1,255.2,239.7,15.5,297.9,697.2,686.4,311,282.8,91.5,1.1,10.9
"Perlis",1984,64.8,61.8,3,40,44.5,43.5,1,6.4,20.3,18.3,1.9,33.6,64.8,63.8,49.1,11.1,1.4,2.2,0.9
"Sabah",1984,425.9,400.3,25.6,194.4,298.8,282.1,16.7,30.1,127.1,118.2,8.9,164.3,425.9,312.9,239.5,70.4,2.4,0.6,113.1
"Sarawak",1984,616.7,575.3,41.5,216.9,373.9,353.4,20.5,40.4,242.8,221.9,20.9,176.5,616.7,611.5,435.1,171.1,4.2,1,5.3
"Selangor",1984,718.8,690.3,28.5,380.9,476.6,459.8,16.8,79.8,242.2,230.5,11.7,301.1,718.8,705.5,315.9,252.4,115.8,21.3,13.3
"Terengganu",1984,219.3,204.4,14.9,129.7,149.9,141.8,8.1,25.5,69.4,62.7,6.8,104.2,219.3,213.1,200.2,12,0.8,0.1,6.2
"W.P Kuala Lumpur",1984,504.5,485.4,19.2,253.7,333.6,321.9,11.7,61.1,170.9,163.5,7.4,192.6,504.5,493.8,162,263,66.8,2,10.7
"W.P Labuan",1984,17.3,16,1.3,8.7,13.7,12.7,1,1.2,3.6,3.3,0.3,7.5,17.3,12.9,8.6,4,0.2,0.1,4.4
"Johor",1985,710.4,672.7,37.6,354.7,466.4,444.7,21.7,70.9,243.9,228,15.9,283.8,710.4,688.1,231,281.4,57.9,117.7,22.3
"Kedah",1985,445.4,413.8,31.5,276,283.8,269.2,14.6,64.4,161.6,144.6,17,211.6,445.4,443.5,321.2,82.5,34.6,5.2,1.9
"Kelantan",1985,344.3,323.6,20.7,212.9,212.8,198.7,14.1,54.9,131.5,124.9,6.6,158,344.3,335.1,306.3,20.5,3,5.3,9.2
"Malaysia",1985,5990.1,5653.4,336.8,3124.9,3896.7,3700.5,196.1,657.7,2093.5,1952.8,140.6,2467.3,5990.1,5769.5,3100.5,1952.1,519.6,197.3,220.6
"Melaka",1985,180,170.1,9.9,105.9,114.223,108.615,5.608,23.919,65.804,61.497,4.307,82.009,180,176.3,81.6,74.5,15.2,5,3.7
