"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Perlis",1997,71.8,5,22.3,37.2,7.3,71.8,0,9.2,19,2.1,0,3.2,1.6,0,31.6,5
"Sabah",1997,1048.5,139.3,398.2,443.9,67.2,1048.5,0,137.1,149.9,23.1,0,18.8,14.9,0,565.5,139.3
"Sarawak",1997,864.9,127.7,259,401.4,76.8,864.9,0,108.5,149,18.8,0,33.9,19,0,407.9,127.7
"Selangor",1997,1343,38.9,268.4,754.3,281.4,1343,0,139.6,442.8,60.4,0,105.3,105.4,0,450.8,38.9
"Terengganu",1997,292.9,28.5,79.2,152.8,32.4,292.9,0,34.9,89,10,0,14.4,8.3,0,107.7,28.5
"W.P Kuala Lumpur",1997,700.7,18.4,105.1,388.4,188.9,700.7,0,104,242.4,35.7,0,64.4,79.9,0,155.9,18.4
"W.P Labuan",1997,35.9,3.1,9.7,18.8,4.3,35.9,0,4.9,9.7,1.3,0,1.2,1.3,0,14.5,3.1
"Johor",1998,1044.3,31.7,297.2,617.6,97.9,1044.3,0,184,304.2,24.3,0,44.4,28,0,427.7,31.7
"Kedah",1998,587.1,39.3,179.7,305,62.9,587.1,0,101.1,152.3,21.3,0,23,14.2,0,235.9,39.3
"Kelantan",1998,449.1,63.4,125.1,206.2,54.4,449.1,0,56.3,102.5,17,0,20.2,13.1,0,176.6,63.4
"Melaka",1998,248.6,6.4,65,145.1,32.2,248.6,0,33.9,82.5,6.9,0,12.7,9,0,97.3,6.4
"N. Sembilan",1998,315.7,13.5,87.8,176.4,38,315.7,0,36.2,83.4,8.1,0,17.2,10.7,0,146.8,13.5
"P. Pinang",1998,599.3,17.8,130.8,366.4,84.3,599.3,0,81.7,182,18.2,0,31.7,31,0,236.9,17.8
"Pahang",1998,374.8,22.6,124.6,193.2,34.5,374.8,0,55.8,103.3,7.8,0,16,8.2,0,161,22.6
"Perak",1998,712.7,45.3,224.3,383.4,59.8,712.7,0,85,163.1,16.2,0,27.1,15.4,0,360.7,45.3
"Perlis",1998,74.2,5.4,21.8,39.5,7.4,74.2,0,13.1,20.3,2.5,0,2.8,1.6,0,28.4,5.4
"Sabah",1998,1123.7,147.2,433.7,472.3,70.3,1123.7,0,137.4,162.2,20.3,0,25,18.8,0,612.5,147.2
"Sarawak",1998,868.1,130.8,248.9,408,80.4,868.1,0,119.3,157.4,20.9,0,32.9,22.2,0,384.5,130.8
"Selangor",1998,1457,36.7,283.1,818.8,317.8,1457,0,159.3,485.7,60.4,0,115.1,119.9,0,479.9,36.7
"Terengganu",1998,305.6,33.9,83,154.4,34.3,305.6,0,36.3,88.3,10,0,15.1,8.2,0,113.8,33.9
"W.P Kuala Lumpur",1998,685.6,17.3,90.6,388,189.6,685.6,0,108.5,242.4,43.8,0,62.6,81.2,0,129.7,17.3
"W.P Labuan",1998,37.9,1.7,8.9,24,3.4,37.9,0,5.5,11,1.1,0,1.1,1.1,0,16.4,1.7
"Johor",1999,1060.4,48.3,285.1,635,92,1060.4,0,170.3,342.1,26.8,0,36.1,27.2,0,409.7,48.3
"Kedah",1999,701.4,60.8,214.4,354.3,71.9,701.4,0,108.5,191.4,29.7,0,24.5,15.7,0,270.9,60.8
"Kelantan",1999,451.1,59.2,124.5,209.5,57.9,451.1,0,49,107.8,16.6,0,21.1,13.9,0,183.6,59.2
"Melaka",1999,247.9,6.2,58.5,151.1,32.1,247.9,0,34.9,87.7,7.3,0,12.1,10.7,0,89.1,6.2
"N. Sembilan",1999,285.8,7.3,77.6,167.5,33.4,285.8,0,32.1,88.4,7.5,0,15.9,10.2,0,124.5,7.3
"P. Pinang",1999,617.5,19.4,114.5,388.5,94.9,617.5,0,90.9,203.8,23.3,0,35.8,32.3,0,211.9,19.4
"Pahang",1999,396.2,17.6,135.6,207.8,35.1,396.2,0,65.2,113.3,8.2,0,16.7,8,0,167.2,17.6
"Perak",1999,715.4,37.2,211.2,411.6,55.3,715.4,0,99.9,194.6,14.2,0,22.4,15.6,0,331.4,37.2
"Perlis",1999,81.2,6.2,23,42.9,9.2,81.2,0,13.1,24.5,3,0,3.7,2.1,0,28.6,6.2
"Sabah",1999,1167.2,140.2,419.2,527,80.8,1167.2,0,152.3,183.8,24.5,0,26.1,20.1,0,620.1,140.2
"Sarawak",1999,906.9,111.2,244.6,455,96.1,906.9,0,128.3,191.9,23.5,0,38.6,28.2,0,384.9,111.2
"Selangor",1999,1455,36.7,272,836.2,310.2,1455,0,167.4,506.7,56.7,0,119.8,130,0,437.7,36.7
"Terengganu",1999,312.3,24.4,83.4,167.3,37.2,312.3,0,35.7,98.7,10.3,0,16.1,11.1,0,116,24.4
"W.P Kuala Lumpur",1999,710.4,15,100.7,395.5,199.2,710.4,0,104.3,257.6,29.7,0,73.1,94.3,0,136.4,15
"W.P Labuan",1999,42.9,2.7,16.4,20.7,3.1,42.9,0,5.8,10.5,0.3,0,1.8,1,0,20.8,2.7
"Johor",2000,1222.4,36.2,317.3,749.2,119.7,1222.4,0,203.3,403.9,36.7,0,46.6,36.6,0,459.1,36.2
"Kedah",2000,645.2,34.9,173.5,353.9,82.8,645.2,0,110.2,191.5,27.7,0,30.2,24,0,226.7,34.9
"Kelantan",2000,437.2,50,116.9,214,56.3,437.2,0,48.7,117.5,19.3,0,18.9,12.6,0,170.1,50
"Melaka",2000,256.9,7.1,50.2,169.6,30,256.9,0,27.6,101.6,5.6,0,14.2,8.7,0,92.1,7.1
"N. Sembilan",2000,359.6,11,88.2,212,48.3,359.6,0,37.7,114.3,9.1,0,21.5,16,0,150.1,11
"P. Pinang",2000,682.3,19.8,131.9,425.6,105,682.3,0,100.4,235.4,25.4,0,35.9,36.8,0,228.5,19.8
"Pahang",2000,459.1,23.2,161.6,220.4,53.9,459.1,0,64.7,122.1,11.1,0,23.9,15.1,0,199,23.2
"Perak",2000,771.3,37.1,218.8,437.7,77.6,771.3,0,93.6,207.3,19.7,0,33.8,21.7,0,358.1,37.1
"Perlis",2000,77,3.6,20.1,43.2,10.1,77,0,12.6,24.6,2.6,0,4.4,2.7,0,26.7,3.6
"Sabah",2000,991.6,116.2,323.9,462.7,88.8,991.6,0,133.9,192.8,22.4,0,36.3,26,0,463.9,116.2
"Sarawak",2000,915.7,125.4,267.2,439.6,83.6,915.7,0,116,180.9,18.7,0,39.3,22.2,0,413.1,125.4
"Selangor",2000,1715.3,32.5,331.2,951.5,399.9,1715.3,0,187.2,572.8,56,0,161.3,167.9,0,537.6,32.5
"Terengganu",2000,315.4,24.1,81.2,167.2,43,315.4,0,39.2,105.7,10.9,0,18.5,12.6,0,104.1,24.1
"W.P Kuala Lumpur",2000,680.4,9.5,91,399.4,180.6,680.4,0,102.1,266.7,27.7,0,67.3,83,0,124.2,9.5
"W.P Labuan",2000,26.7,1.2,7.5,15.1,2.8,26.7,0,3.4,8.6,1.4,0,1,0.2,0,10.8,1.2
"Johor",2001,1279,42.8,312.9,788.3,133.1,1279,0,216,452.9,36.3,0,53.9,40.4,0,435,42.8
"Kedah",2001,727.4,31,201.7,411.7,82.6,727.4,0,111.2,237.8,22.4,0,33.8,24,0,266.1,31
"Kelantan",2001,448,46.8,112.8,223.2,65.2,448,0,65.6,120.8,21.9,0,21.8,14.6,0,155.9,46.8
"Melaka",2001,272.6,5,48.9,182.7,36.1,272.6,0,30.5,110.7,8.2,0,14.9,12,0,91.4,5
"N. Sembilan",2001,362.8,9,98.7,201.8,53.3,362.8,0,33,106.6,9,0,22.7,19.4,0,163,9
"P. Pinang",2001,733.3,15.6,146.2,442.3,129.2,733.3,0,105.7,255.1,28.3,0,39,50.2,0,239.4,15.6
"Pahang",2001,451.6,24,144.2,234.2,49.3,451.6,0,66.8,132.5,11.6,0,18.1,15.4,0,183.3,24
"Perak",2001,761.3,29.5,213.9,449.1,68.8,761.3,0,106.5,221,17.4,0,29.3,21.8,0,335.7,29.5
"Perlis",2001,85.9,5,23.2,48.7,9,85.9,0,14,27.8,2.7,0,3.4,2.9,0,30,5
"Sabah",2001,1048,114.3,345.9,491.8,96.1,1048,0,127.7,200.8,23.8,0,33,31.6,0,516.9,114.3
"Sarawak",2001,918,111.8,266.2,441.3,98.6,918,0,119.4,191.1,21.4,0,41.8,29.1,0,403.3,111.8
"Selangor",2001,1552.5,25.5,246.1,873.3,405.1,1552.5,0,172.3,550.1,55.2,0,160.9,176.1,0,411.7,25.5
"Terengganu",2001,307.1,18.5,77.6,169.1,41.8,307.1,0,36.2,105.8,10.2,0,17.1,13.6,0,105.6,18.5
"W.P Kuala Lumpur",2001,723.2,13.7,93.1,395.8,220.6,723.2,0,106.1,256.2,25.5,0,92,100.4,0,129.3,13.7
"W.P Labuan",2001,28.7,1.4,5.9,17.9,3.5,28.7,0,4.4,9.7,0.6,0,0.7,1.3,0,10.6,1.4
"Johor",2002,1259,41.1,303.9,768.3,145.3,1259,0,193.2,464.4,35.6,0,62.4,43.4,0,418.6,41.1
"Kedah",2002,666.5,32.3,181.3,372.6,80.3,666.5,0,113.3,213.2,23,0,27.5,25.4,0,231.6,32.3
"Kelantan",2002,439.7,46.5,105.1,222.7,65.5,439.7,0,60.7,119.4,19.6,0,22.4,17.6,0,153.6,46.5
"Melaka",2002,236.2,5.7,43.3,147.8,39.4,236.2,0,33.1,96.5,7.8,0,19,12.3,0,61.9,5.7
"N. Sembilan",2002,337.2,10.8,85.5,192.1,48.7,337.2,0,29.7,102.1,7.6,0,23.1,17.5,0,146.5,10.8
"P. Pinang",2002,657.2,16.6,110.9,402.9,126.6,657.2,0,113,242.5,26.2,0,46.2,46.7,0,165.8,16.6
"Pahang",2002,419,21.5,125.8,223.2,48.5,419,0,67.7,125.5,13.7,0,17.7,14.8,0,158.2,21.5
"Perak",2002,820.6,33.6,219.7,481.8,85.4,820.6,0,117.5,251.7,17.9,0,43.6,26.4,0,329.8,33.6
"Perlis",2002,58.8,3,15.1,31.8,8.9,58.8,0,8.7,18.8,2.5,0,3.8,2.7,0,19.2,3
"Sabah",2002,1093.2,116.6,369.5,496.5,110.2,1093.2,0,134.2,211,26.5,0,42.9,36.1,0,525.7,116.6
"Sarawak",2002,955.8,128,284.4,443.3,100.1,955.8,0,124,197.1,20,0,45.8,30.6,0,410.2,128
"Selangor",2002,1803.2,43.3,283,981.6,494.8,1803.2,0,208.9,616.5,58.4,0,205,216.4,0,454.4,43.3
"Terengganu",2002,288.9,14.7,73.4,158.6,42.3,288.9,0,38,102.1,10.2,0,16.6,14.6,0,92.7,14.7
"W.P Kuala Lumpur",2002,816.9,7.5,117.1,441.5,250.8,816.9,0,122,284.5,28.2,0,96.3,119.4,0,159.1,7.5
"W.P Labuan",2002,34,2.1,8,19.3,4.7,34,0,5.9,10.1,1.1,0,1.9,1.6,0,11.4,2.1
"Johor",2003,1315.3,41.1,316.9,792.8,164.3,1315.3,0,213.6,460.7,38.6,0,71.3,50.5,0,439.4,41.1
"Kedah",2003,680.1,30.6,157.9,389.6,102,680.1,0,120.6,226,26.9,0,44,30,0,202.1,30.6
"Kelantan",2003,491.6,39.2,114.8,255.2,82.2,491.6,0,68,153,24.9,0,26.6,25.1,0,154.7,39.2
"Melaka",2003,280.6,6.6,49.2,182.3,42.3,280.6,0,39,118.8,7.6,0,20,14,0,74.6,6.6
"N. Sembilan",2003,352.3,8.7,86.9,200.9,55.8,352.3,0,39.1,111.4,6.8,0,31.5,16.5,0,138.1,8.7
"P. Pinang",2003,686.3,12.6,110.6,428.3,134.9,686.3,0,103.4,262.6,27.8,0,48.4,49,0,182.6,12.6
"Pahang",2003,477.1,22.1,138.5,256.8,59.7,477.1,0,61.6,157.6,11,0,22.2,21.4,0,181.1,22.1
"Perak",2003,771.4,23.4,198.1,467.7,82.1,771.4,0,116.9,241.6,16.6,0,36.2,29.7,0,306.9,23.4
"Perlis",2003,80.1,4.3,17.2,47.7,10.8,80.1,0,16.7,27.4,3.1,0,4.1,3.4,0,21.1,4.3
"Sabah",2003,1134.5,120.6,376.1,522,115.6,1134.5,0,135.8,230,25.6,0,44.8,38.7,0,538.2,120.6
"Sarawak",2003,946.4,110.1,262.5,466,107.8,946.4,0,129.3,208.4,20.3,0,47.6,37.3,0,393.2,110.1
"Selangor",2003,1895.3,41.2,278,1039.4,536,1895.3,0,211.5,673.6,61.4,0,233.2,226.2,0,448,41.2
"Terengganu",2003,355.1,19.3,88.1,190.4,57.3,355.1,0,43.9,120.8,12.7,0,25.8,19.2,0,113.3,19.3
"W.P Kuala Lumpur",2003,740.3,7.6,88.2,406,238.6,740.3,0,103.9,266.1,24.6,0,90,118.5,0,129.7,7.6
"W.P Labuan",2003,33.3,1,7.3,20,5,33.3,0,4.1,11.2,1.1,0,2.1,1.7,0,12.1,1
"Johor",2004,1278.8,37.1,294.4,777.5,169.8,1278.8,0,209.5,451,35.2,0,72.4,58.8,0,414.7,37.1
"Kedah",2004,680.3,23.8,163.7,395.9,96.9,680.3,0,126.7,223.9,22.8,0,44.7,26.6,0,211.8,23.8
"Kelantan",2004,455.1,32.3,101.6,240.6,80.6,455.1,0,68.1,144.5,22.2,0,30.8,22.4,0,134.9,32.3
"Melaka",2004,269.5,6.1,45.5,171.6,46.2,269.5,0,33.6,111.5,6.4,0,22.6,16.6,0,72.4,6.1
"N. Sembilan",2004,373.6,8.1,83.5,217.5,64.5,373.6,0,39.7,127.2,9.3,0,32.2,21.6,0,135.5,8.1
"P. Pinang",2004,636.7,11.7,114.9,391.1,118.8,636.7,0,83.5,239.1,19,0,47.5,46.9,0,189,11.7
"Pahang",2004,544,29.3,146.4,303.7,64.6,544,0,83,186.4,13.4,0,24.9,22.6,0,184.3,29.3
"Perak",2004,818.3,30.4,187.9,494.6,103.2,818.3,0,127,261.4,18.3,0,50.9,33.9,0,296.5,30.4
"Perlis",2004,76.3,3.4,16.4,45.6,11,76.3,0,15,27.7,3.1,0,4.4,3.3,0,19.3,3.4
"Sabah",2004,1156.9,118.4,369.8,541.7,126.8,1156.9,0,137.2,250.3,29.8,0,56.8,34,0,530.4,118.4
"Sarawak",2004,955.2,105.5,260.3,463.4,126.1,955.2,0,123,223,20.6,0,58,46.1,0,378.7,105.5
"Selangor",2004,2028.1,46,290.7,1087.8,599.9,2028.1,0,235.5,692.5,67.3,0,238.9,267.4,0,480.5,46
"Terengganu",2004,347.9,17,81.9,189.7,59.2,347.9,0,39.5,122.3,13.8,0,26.7,18.7,0,109.9,17
"W.P Kuala Lumpur",2004,691.6,11.3,83.8,361.4,235.1,691.6,0,91,237.1,22.6,0,96,112.4,0,121.1,11.3
"W.P Labuan",2004,34,2.8,8.1,17.1,5.9,34,0,3.7,9.9,0.8,0,2.2,2.5,0,12,2.8
"Johor",2005,1280,34.2,272.4,783.9,189.5,1280,0,213.8,475.2,37.2,0,83.7,67,0,368.9,34.2
"Kedah",2005,677.8,24.8,152.5,392.6,108,677.8,0,125,234.6,24.9,0,45.8,33.1,0,189.7,24.8
"Kelantan",2005,454.2,36.3,96.2,243.8,77.9,454.2,0,68.1,149.1,21.4,0,30.2,23.5,0,125.6,36.3
"Melaka",2005,274.5,7.4,44.5,174.1,48.4,274.5,0,29.8,114.9,7.9,0,25.4,14.6,0,74.5,7.4
"N. Sembilan",2005,386.7,7.4,77.8,232.9,68.6,386.7,0,40.2,138.9,9.1,0,35.7,22.8,0,132.5,7.4
"P. Pinang",2005,634.9,11.6,101.6,378,142.7,634.9,0,85.9,236.2,19.3,0,58.7,54.6,0,168.5,11.6
"Pahang",2005,542.7,28.1,132,314.9,67.7,542.7,0,88,205.3,12,0,35.7,18.8,0,155,28.1
"Perak",2005,828.8,29.4,185.2,508.3,105.9,828.8,0,135,294,20,0,56.3,27.3,0,266.7,29.4
"Perlis",2005,76.2,3.1,13.5,46.2,13.4,76.2,0,13.6,30.9,3.2,0,6.1,3.8,0,15.5,3.1
"Sabah",2005,1181.9,119.2,399,531.1,132.4,1181.9,0,133.8,258.8,34.4,0,55.1,38.7,0,542,119.2
"Sarawak",2005,950.3,100.2,244,475.4,130.7,950.3,0,131.2,232.8,24.6,0,55.6,49,0,356.7,100.2
"Selangor",2005,2048.8,50.4,265,1122.1,610.5,2048.8,0,258.5,737.7,61.2,0,264.2,269,0,407.7,50.4
"Terengganu",2005,353.1,15.1,80.3,192.6,65,353.1,0,42.9,127.1,14.8,0,31,20.5,0,101.6,15.1
"W.P Kuala Lumpur",2005,691.4,6.4,73,381.6,230.1,691.4,0,89.7,257.2,19.3,0,93.3,114.2,0,111.2,6.4
"W.P Labuan",2005,32.2,2.6,7.7,17.7,4.2,32.2,0,4.7,11,0.8,0,1.5,1.8,0,9.8,2.6
"Johor",2006,1285.8,28.4,271.6,786.9,198.8,1285.8,0,225.4,487.4,35.9,0,94.3,66.8,0,347.6,28.4
"Kedah",2006,682.4,20.7,145.4,406.8,109.3,682.4,0,118.8,250.6,27.6,0,48.1,33.5,0,183.1,20.7
"Kelantan",2006,469.8,29.8,98.3,256.4,85.4,469.8,0,73.3,157.2,22,0,33.2,25.9,0,128.4,29.8
"Melaka",2006,276.7,3.9,45.3,171.4,56.1,276.7,0,33.6,113.9,8.3,0,27.8,19.1,0,70,3.9
"N. Sembilan",2006,394.5,7.8,80.1,232.8,73.9,394.5,0,39.2,141.5,9.7,0,36.9,25.3,0,134.1,7.8
"P. Pinang",2006,658.9,11,101.6,398.9,147.2,658.9,0,91.4,243,21.5,0,56.1,62,0,173.8,11
"Pahang",2006,571.3,22.6,143.5,333.4,71.8,571.3,0,83.3,223.3,11.7,0,34.2,24.8,0,171.3,22.6
"Perak",2006,845.5,25.6,196.1,518.7,105.1,845.5,0,113.7,290.7,20.5,0,46.1,36.7,0,312.1,25.6
"Perlis",2006,77,3.2,15,46.1,12.7,77,0,13.2,30,3.1,0,5.8,3.5,0,18.1,3.2
"Sabah",2006,1230.4,104.4,403.8,574.8,147.5,1230.4,0,136.5,296.5,35.6,0,63.5,42.1,0,551.8,104.4
"Sarawak",2006,958,91.1,259.9,479.1,127.9,958,0,126.1,256.4,22.8,0,52.1,49.9,0,359.7,91.1
"Selangor",2006,2084.4,26.9,253.2,1179.4,624.3,2084.4,0,261.9,767.7,68.9,0,243.6,304.2,0,411.2,26.9
"Terengganu",2006,364.6,16.8,75.4,203.5,68.9,364.6,0,49.5,139.6,11.8,0,32.1,24.8,0,90.1,16.8
"W.P Kuala Lumpur",2006,696.1,9.7,74.8,382.8,228.5,696.1,0,93.3,250.2,19.1,0,90,116.4,0,117.3,9.7
"W.P Labuan",2006,33.7,1.8,8.8,18.5,4.5,33.7,0,5.6,11,1.3,0,1.8,1.4,0,10.8,1.8
"Johor",2007,1313.6,29.6,240.1,838.4,205.5,1313.6,0,247.7,522.5,33.3,30,84.9,56.2,0,309.4,29.7
"Kedah",2007,693.1,23.9,138.9,413.7,116.6,693.1,0,115.1,263.3,27.9,14.5,41.3,34.9,0,171.7,24.4
"Kelantan",2007,486.2,31.9,100.7,261.8,91.8,486.2,0,64.8,171.7,22.7,10.1,26.8,27.2,0,130.6,32.3
"Melaka",2007,290.4,5.9,44.2,175.1,65.1,290.4,0,38.5,117.9,8.1,10.5,25.5,20.2,0,63.3,6.4
"N. Sembilan",2007,395.8,7.8,74.2,233.5,80.3,395.8,0,44.3,141.1,9.1,16.4,29.4,24.7,0,122.9,7.9
"P. Pinang",2007,667.6,10.8,97.5,402.1,157.1,667.6,0,75.1,240.4,19.7,12.6,55,64.2,0,188.1,12.4
"Pahang",2007,580.2,26.9,139.8,326.7,86.8,580.2,0,85,217.6,18.1,12.6,29.6,24.8,0,164.6,27.8
"Perak",2007,877.9,25.3,182.5,551.4,118.7,877.9,0,137,322.6,23.3,17.4,44.5,32.9,0,273.8,26.3
"Perlis",2007,82.5,2.5,14,50.2,15.8,82.5,0,15.5,31.8,3.7,2,4.9,5.2,0,16.8,2.6
"Sabah",2007,1267.7,119.8,401.7,569.6,176.6,1267.7,0,137,282.8,47.8,15.7,53.2,53.3,0,556.6,121.3
"Sarawak",2007,997.4,93.3,258.3,491.8,153.9,997.4,0,133.3,266.3,27.1,16.9,50,59.1,0,350.8,94
"Selangor",2007,2128,33.2,249.9,1190.3,646,2128,0,249.5,796.9,67.9,68.4,222.7,280.1,0,394.9,47.4
"Terengganu",2007,372.7,13.5,75.1,208.2,75.9,372.7,0,50,141,13.7,11.9,27.6,24.8,0,90.1,13.7
"W.P Kuala Lumpur",2007,702.4,5.3,79.5,403,214.5,702.4,0,95.4,275.8,18.8,16,72.4,103,0,114.9,6.1
"W.P Labuan",2007,34.1,2.9,7.6,18.2,5.5,34.1,0,6.5,10.3,1.6,0.4,1.1,2.1,0,8.9,3
"Johor",2008,1313.1,36.4,245,799,232.6,1313.1,217.4,202.5,529.9,43.1,28,91.9,67.3,0,96.5,36.4
"Kedah",2008,703,24.6,136.6,402.2,139.6,703,43,111,264.8,29.5,18,45.8,42.8,0,123.6,24.5
"Kelantan",2008,500.9,32.9,86.2,267.3,114.5,500.9,19,67.6,176.3,28.3,13,34,35.2,0,94.8,32.9
"Melaka",2008,290,4.4,41.9,175,68.7,290,29.7,40.9,120,8.2,11.4,24.6,23.4,0,27.3,4.4
"N. Sembilan",2008,399.3,9.1,72.5,237.2,80.4,399.3,30.1,52.8,149,8.4,10.5,33.7,26.9,0,78.9,9.1
"P. Pinang",2008,688.4,11.3,98.3,404.2,174.6,688.4,63.3,100.3,251.3,20.5,16.4,60.1,69.8,0,95.3,11.3
"Pahang",2008,605.7,25.7,136.2,346.8,97,605.7,85.7,89.1,232.3,17.4,13.7,33.7,30.4,0,77.6,25.7
"Perak",2008,892.6,27.7,173.4,559.9,131.6,892.6,112.1,148,336.4,25.4,15.8,49.7,39.8,0,137.6,27.7
"Perlis",2008,84,2.7,12.2,50.5,18.5,84,7.2,13.5,34.3,4.2,2.5,5.3,6.4,0,7.8,2.7
"Sabah",2008,1294.2,153.4,361.4,592.9,186.5,1294.2,213,158.4,333.6,44.7,13.1,59.7,60.1,0,258.3,153.4
"Sarawak",2008,973,82.5,245.2,499.3,145.9,973,173.3,144,293.8,33,11.9,47,51.3,0,136.2,82.5
"Selangor",2008,2159.8,53.4,257,1222,627.4,2159.8,171,282.7,846.5,55.8,39.2,211.8,314.9,0,184.4,53.4
"Terengganu",2008,388.8,14.4,74.1,209.7,90.5,388.8,53.5,52,147.1,16,15.4,29.8,27.8,0,32.8,14.4
"W.P Kuala Lumpur",2008,701,6.5,70,402,222.4,701,24.3,82.3,293.2,23.3,11.1,83.8,103.5,0,73,6.5
"W.P Labuan",2008,34.5,4,6.4,18.3,5.7,34.5,5.4,5.1,11.9,1.4,0.6,1.6,2.1,0,2.3,4
"Johor",2009,1350,32.3,222.4,837.4,257.9,1350,226.9,204.4,576.3,43.8,27.1,100.1,83.4,0,55.7,32.3
"Kedah",2009,732.6,19.8,129.3,425.7,157.7,732.6,66.7,117.3,282.5,27.2,23.2,57.2,47.2,0,91.4,19.8
"Kelantan",2009,517.8,31.4,83.3,288.4,114.7,517.8,35,84.1,181.6,26.9,15,35.3,35.2,0,73.4,31.4
"Melaka",2009,290.9,6.5,37.7,176.1,70.6,290.9,32.8,39.9,125.3,8.6,10.7,25.4,24.6,0,17.1,6.5
"N. Sembilan",2009,402.2,6.9,76.1,229.8,89.5,402.2,35.8,41.8,151,9.8,12.9,38.4,27,0,78.6,6.9
"P. Pinang",2009,707.1,11.2,94.4,415.9,185.6,707.1,41.7,89.5,262.6,23.8,15.1,66.4,72.5,0,124.3,11.2
"Pahang",2009,622.3,24.1,139,347.4,111.7,622.3,122.3,96.4,229.9,17.8,14.4,41.1,36.8,0,39.4,24.1
"Perak",2009,923.7,27.3,160,572.5,163.9,923.7,102.1,147.3,366.3,25.3,20.3,63.8,52.6,0,118.7,27.3
"Perlis",2009,84.3,2.7,11.4,50.2,20,84.3,6.9,14.6,33.5,3.9,3.2,6,6.7,0,6.7,2.7
"Sabah",2009,1345.3,133,386.8,612,213.6,1345.3,254.2,176.2,342.7,50.7,17.9,67.8,71.4,0,231.3,133
"Sarawak",2009,1024.2,83.8,244.6,521.9,173.9,1024.2,177.9,152.7,309.8,34.6,15.4,55.4,62.4,0,132.3,83.8
"Selangor",2009,2173.3,37.5,240.9,1156.7,738.1,2173.3,196,251.6,846.6,63.1,46.4,258.9,362.9,0,110.3,37.5
"Terengganu",2009,405.6,13.9,70.3,224.1,97.3,405.6,51.1,54.4,158.3,15.3,19.4,31.9,29.3,0,32.1,13.9
"W.P Kuala Lumpur",2009,698.3,5.6,68,383.5,241.2,698.3,56.5,86.9,271.4,20.5,9.8,90.6,119.5,0,37.3,5.6
"W.P Labuan",2009,37.6,2.9,6.2,20.4,8.1,37.6,5,6.4,12.6,1.3,0.9,2.7,3.1,0,2.7,2.9
"Johor",2010,1453.5,20.2,248.3,934.1,250.9,1453.5,243.5,248.6,638.3,40.6,26.7,91.5,88.9,0,55.5,20.1
"Kedah",2010,746.9,15.7,133.9,445.8,151.5,746.9,53.1,135.7,286,26.8,17.9,51.3,53,0,107.5,15.7
"Kelantan",2010,547.2,32.1,98.3,297.4,119.5,547.2,58,85,190.4,28.6,11.9,37.5,39.8,0,64,32.1
"Melaka",2010,338.6,4.9,47.3,207.5,78.9,338.6,35.3,50.2,146.5,9.1,12.1,26.9,30.3,0,23.4,4.9
"N. Sembilan",2010,418.3,7.4,76.6,238.4,95.9,418.3,34.6,48.8,151.7,10.6,13.5,37.8,32.5,0,81.5,7.4
"P. Pinang",2010,759,9.6,99.9,450.3,199.2,759,62.2,106.1,281.7,21.4,19.3,70.1,84.7,0,103.8,9.6
"Pahang",2010,608.4,17.6,124.5,353.2,113.1,608.4,107,93.7,241.7,17.6,16.5,37.4,39.9,0,37,17.6
"Perak",2010,906,22.5,159.4,562.4,161.8,906,118.4,152.4,351.7,25.5,22.7,53.3,58.1,0,101.4,22.5
"Perlis",2010,83.6,3.3,11.6,49.4,19.3,83.6,9.9,14.3,33,3.5,2.9,5.1,7.6,0,4.2,3.3
"Sabah",2010,1480.7,159.5,471.1,637.9,212.2,1480.7,326.7,192,347.3,43.4,21,70.2,68.8,0,252,159.4
"Sarawak",2010,1093.7,93.5,261.5,557.1,181.6,1093.7,206.8,184.6,321.9,35.6,17.7,53.8,67.6,0,112.2,93.5
"Selangor",2010,2634.4,47.7,293.6,1379.8,913.2,2634.4,228.8,268.6,1045.5,75.4,70.1,318,442.6,0,137.6,47.7
"Terengganu",2010,380.6,10.6,65.7,214.3,90.1,380.6,35.5,52.5,149.5,12.7,18.9,27.7,29.3,0,43.9,10.6
"W.P Kuala Lumpur",2010,812.9,7.2,71.1,441.3,293.3,812.9,58,104.7,307.4,22.9,12.1,106.6,150.7,0,43.2,7.2
"W.P Labuan",2010,40,1,5.5,23.1,10.5,40,5.1,6.4,15.7,2,1.8,3.5,2.9,0,1.6,1
"Johor",2011,1499.9,17,238.5,965.6,278.8,1499.9,235.9,235.8,676.9,36.2,32,111.7,94.9,0,59.5,17
"Kedah",2011,770,15.1,136.6,454.5,163.8,770,61,135.8,294.3,29.4,23.2,58.2,52,0,101,15.1
"Kelantan",2011,555.4,29.5,89,305,131.9,555.4,54.9,81.4,205.2,31.4,14,40,44.7,0,54.3,29.5
"Melaka",2011,343.3,4.2,43,211.8,84.2,343.3,40.8,54.4,148.5,9.1,10.6,31.4,32.4,0,11.9,4.2
"N. Sembilan",2011,429.1,8.3,70.5,252.8,97.5,429.1,36.4,47.2,163.1,10.8,9.6,38.5,37.8,0,77.5,8.3
