"ConState","Year","AllTotalEdu","NonEduc","Primary","Secondary","Tertiary","AllTotalCert","UPSRAEquiv","PMRSRPLCEEquiv","SPMEquiv","STPMEquiv","Certificate","Diploma","Degree","ReligCert","NoCert","NoRelevant"
"Melaka",1985,180,16.7,72,79.7,11.6,180,0,17.7,29,2.3,0,5.2,3.6,0.4,105.5,16.3
"N. Sembilan",1985,221.1,15.3,104.1,89,12.8,221.1,0,18.6,30.2,2.5,0,5.3,4.1,0.2,145.1,15.1
"P. Pinang",1985,408.5,23.1,148.3,205.9,31.3,408.5,0,39.3,78.4,6.6,0,11.2,10,0,240.1,23.1
"Pahang",1985,342.7,36.4,156.3,131.7,17.9,342.7,0,37.3,50.7,1.9,0,9.2,2.7,1.5,204.2,34.9
"Perak",1985,713.1,81.1,315.4,277.3,39.2,713.1,0,66.8,83.1,5.1,0,18.6,8.7,1.2,449.5,79.9
"Perlis",1985,65.5,7.4,28,25.2,4.9,65.5,0,6.1,9.4,0.4,0,2.4,1.2,0.2,38.5,7.3
"Sabah",1985,431,109.7,161.9,146.4,13,431,0,43,33.2,2.5,0,4.4,6.3,0.2,231.9,109.5
"Sarawak",1985,632.7,182.8,215.5,204.6,29.6,632.7,0,54.6,48.1,4.6,0,12.1,10.3,0.2,320.3,182.6
"Selangor",1985,740.6,42.3,243.6,371.9,82.8,740.6,0,85.8,171.7,18.2,0,24.6,32.2,1.6,365.8,40.6
"Terengganu",1985,228.9,47.8,87.9,76.7,16.5,228.9,0,17.5,34.3,1.7,0,7.6,3.9,0.7,116.1,47
"W.P Kuala Lumpur",1985,509.7,19.9,139.6,295.2,55,509.7,0,81.4,131.8,15.5,0,11.7,23.1,0.6,226.3,19.2
"W.P Labuan",1985,16.3,1.9,5.6,8,0.8,16.3,0,2.4,2.3,0.2,0,0.3,0.4,0,8.9,1.9
"Johor",1986,751.2,61.8,324.2,319.2,46,751.2,0,67.7,125.3,10.4,0,20.4,9.3,1.1,456.4,60.6
"Kedah",1986,455,67.5,194.6,163.5,29.4,455,0,33.1,66,4.8,0,12.8,5.2,1.6,265.7,65.9
"Kelantan",1986,365.1,84.1,131.4,119,30.7,365.1,0,30.6,55.6,4.3,0,10.6,5,0.6,175.1,83.4
"Melaka",1986,187.7,14.2,73.9,84.6,14.9,187.7,0,21,33.2,3.3,0,6.8,3.6,0.3,105.5,13.9
"N. Sembilan",1986,229.5,16.1,103.6,93.7,16.1,229.5,0,18.4,33.1,2.6,0,6.8,5,0.1,147.5,16
"P. Pinang",1986,427.2,21.3,146.9,224.7,34.4,427.2,0,43.7,85.8,10.5,0,10.7,10.4,0.1,244.9,21.1
"Pahang",1986,331.6,32.8,153,124.8,21,331.6,0,30.5,49.4,3.8,0,9.3,3.6,0.5,202.3,32.3
"Perak",1986,734.2,78.7,316.4,293.9,45.1,734.2,0,69.1,93.5,7,0,21.4,9.3,0.9,455,77.7
"Perlis",1986,62.6,7.9,24.9,25.7,4.2,62.6,0,6.3,10.3,0.2,0,1.5,1.2,0.3,35.2,7.6
"Sabah",1986,441.6,102.1,168.9,156,14.6,441.6,0,46.2,38.8,3.9,0,4.7,6.3,0.2,239.5,101.9
"Sarawak",1986,674.8,185,220.2,235.4,34.2,674.8,0,62.8,58,5.9,0,13.2,9.9,0.2,340.1,184.8
"Selangor",1986,823.7,45.3,266.7,411.2,100.5,823.7,0,77.9,193.7,23,0,31.7,38.7,1.4,413.3,43.9
"Terengganu",1986,241.4,44,90.7,88.6,18.1,241.4,0,19.8,40.5,2.6,0,7,4.1,1,123.5,43
"W.P Kuala Lumpur",1986,481.3,18.2,128.5,278,56.5,481.3,0,61.2,132.1,16.9,0,11.4,24.2,0.3,217.4,17.8
"W.P Labuan",1986,15.3,1.5,5,8,0.9,15.3,0,2.2,2.5,0.2,0,0.3,0.3,0,8.5,1.4
"Johor",1987,781.8,67.6,316.4,344.4,53.5,781.8,0,75,134.3,14.3,0,22.2,10.4,1.2,458,66.4
"Kedah",1987,456.5,64.3,185.9,175.8,30.5,456.5,0,40.3,67.6,8.3,0,10.5,4.9,0.7,260.8,63.5
"Kelantan",1987,375,89.6,121.4,129.6,34.4,375,0,30.7,61.5,6.9,0,10.2,5.1,0.8,171.1,88.7
"Melaka",1987,192.1,14,77.4,84.9,15.8,192.1,0,19.7,34,4,0,7,3.7,0,109.7,14
"N. Sembilan",1987,240,18.1,100.1,105.5,16.4,240,0,21.6,36.2,3.1,0,7.7,4.2,0.1,149,17.9
"P. Pinang",1987,432.8,24.2,143.3,235.1,30.2,432.8,0,46.9,88.1,8.1,0,9.5,9.2,0.2,246.8,24
"Pahang",1987,354.1,32.1,155.2,141.7,25,354,0,33.1,55.8,5.1,0,9.3,6.3,0.4,212.3,31.7
"Perak",1987,728.8,68.5,309.5,306.6,44.2,728.8,0,73.9,89.2,8.3,0,21.6,9.1,1.2,458.2,67.2
"Perlis",1987,64.9,6.3,26.1,27.7,4.8,64.9,0,6.4,10.1,1.1,0,1.7,1.1,0.1,38,6.2
"Sabah",1987,466.5,106.5,170.7,172.1,17.1,466.5,0,45.8,42.7,4.1,0,5.1,8.1,0.3,254.2,106.1
"Sarawak",1987,712.2,175.6,237,267,32.5,712.2,0,74.8,62.6,5.6,0,13.8,9,0.1,370.6,175.5
"Selangor",1987,916.6,49.8,283.1,470.6,113.2,916.6,0,92,215.6,26.6,0,34,46.2,1.2,452.5,48.4
"Terengganu",1987,236.5,42.7,84.5,90.5,18.8,236.5,0,17.7,44.1,4.6,0,7.6,3.7,0.7,116,41.9
"W.P Kuala Lumpur",1987,485.5,16.1,123,282.9,63.5,485.5,0,63.1,137.3,19.9,0,12.7,25.7,0.3,210.7,15.8
"W.P Labuan",1987,13.6,1.3,4.4,7.1,0.8,13.6,0,1.9,2.2,0.2,0,0.2,0.4,0,7.3,1.3
"Johor",1988,837,64.4,345.4,370.3,56.5,837,0,74.2,148.6,13.6,0,24.7,10.5,0.7,500.7,63.4
"Kedah",1988,496.1,67.1,200.6,195,31.2,496.1,0,39.4,79.7,8,0,8.8,5.4,2.6,285.5,64.5
