"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"N. Sembilan",1997,315.7,103.9,202,6.1,3.7,315.7,23.4,50.6,44,45.1,45.7,41.7,28.7,16,12.2,8.3
"P. Pinang",1997,558,224.1,316.1,12.3,5.3,558,31.1,110.8,102.5,80.7,69,58.7,44.8,32.7,17.5,10.2
"Pahang",1997,407.6,129.4,265.5,9.5,3.3,407.6,31.1,62.4,60.2,56.8,53.6,51.3,39.7,27,16.2,9.4
"Perak",1997,760.6,243.7,487.9,21.4,7.6,760.6,54.6,107.3,105.1,105.5,105.6,89.1,79.9,55.9,36.3,21.2
"Perlis",1997,71.8,17.1,51.8,1.6,1.3,71.8,4.8,9.1,7.3,9.6,10.4,8.7,8.3,6.8,4.3,2.4
"Sabah",1997,1048.5,387.9,629.7,17.3,13.7,1048.5,107.8,213.2,197,159.5,125.3,92.8,63.5,44,27.6,17.7
"Sarawak",1997,864.9,285.6,549.9,17.1,12.3,864.9,78.9,146.1,137.9,122.7,106.5,92,70.1,52.3,35.6,22.8
"Selangor",1997,1343,495.1,815.2,18.2,14.1,1343,85.7,248.8,255.4,217.3,190.9,142.7,96.8,61,30.5,14
"Terengganu",1997,292.9,99.9,182.9,6.5,3.6,292.9,25.9,53.8,45.1,39.5,34.7,31.6,23,19.9,11.9,7.4
"W.P Kuala Lumpur",1997,700.7,282.2,396.3,10.9,11.3,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1997,35.9,11.3,24.1,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1998,1044.3,385.9,630.5,20.3,7.5,1044.3,70.1,181.3,179.2,155.9,141.8,117.2,88.4,59.5,30.4,20.6
"Kedah",1998,587.1,181.4,380.8,14.5,10.5,587.1,44.7,96.5,77.7,77.4,79.6,71.8,55,38.1,29.3,17
"Kelantan",1998,449.1,113.4,311.8,13,10.8,449.1,33.7,55.8,52.6,62.1,57.2,52.3,48.9,40.1,26.7,19.7
"Melaka",1998,248.6,82.8,158.5,4.9,2.4,248.6,14.5,41.1,39.4,38.3,34.7,28.8,23.1,15.9,8.2,4.7
"N. Sembilan",1998,315.7,104.1,201,6.5,4,315.7,25.3,52.7,43.1,42.4,41,40.9,32,19.2,11.9,7.2
"P. Pinang",1998,599.3,236,345.1,11.4,6.7,599.3,35,103.7,106.6,91.2,77.5,65.5,51.7,38.6,17.7,11.8
"Pahang",1998,374.8,114.1,250,8,2.6,374.8,22.7,55.4,56.6,50.2,47.7,48.3,43.4,26.3,14.9,9.5
"Perak",1998,712.7,240,443.9,21.4,7.3,712.7,51.6,104.2,92.6,85.2,90.5,90.6,79.6,58,36.4,24.1
"Perlis",1998,74.2,18.3,52.8,1.7,1.4,74.2,5.1,11.2,7.9,8,9.3,9.5,9.5,6.7,4.5,2.6
"Sabah",1998,1123.7,381.8,701.8,26.6,13.4,1123.7,102.7,214.1,202.5,175,144,104,76.2,48.5,33,23.6
"Sarawak",1998,868.1,283.5,554.9,18.3,11.5,868.1,74.1,144.5,138.8,124.1,109.4,92.3,72.3,55.3,33.6,23.7
"Selangor",1998,1457,543.9,877.3,22.7,12.9,1457,71.2,278.1,276.9,227,210.5,165.9,109,65,35.9,17.5
"Terengganu",1998,305.6,101.4,191.3,7.9,5,305.6,24.8,51.3,43.6,37.9,40.6,33.4,25.3,23.3,14.9,10.5
"W.P Kuala Lumpur",1998,685.6,282.2,384.5,11.5,7.4,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1998,37.9,13.8,22.7,0.4,1.1,0,0,0,0,0,0,0,0,0,0,0
"Johor",1999,1060.4,388.1,648.5,15.2,8.2,1060.4,66.8,192.9,188.2,147,134.8,119.6,91.1,61.4,36.7,21.9
"Kedah",1999,701.4,216.6,457.1,14.5,13.1,701.4,58.9,113.3,93.1,94.6,91.9,80.6,69,43.1,33.8,23.1
"Kelantan",1999,451.1,109.7,317.1,14.3,10,451.1,30.7,57,58.4,56.3,61.6,59.2,46.5,37.8,25.9,17.8
"Melaka",1999,247.9,86.4,153.4,4.6,3.5,247.9,14.2,44.9,39.1,35.2,33.9,27.5,23.5,16.1,8.6,4.7
"N. Sembilan",1999,285.8,94.6,181.7,5.3,4.2,285.8,18.2,43,39.8,39.1,40.7,40.1,30.8,17.6,10.2,6.2
"P. Pinang",1999,617.5,245.2,350.3,11,10.2,617.5,35.4,110.4,112.1,95.5,80.1,61.7,52.2,36.6,21.5,11.8
"Pahang",1999,396.2,129.1,255.6,8.1,3.5,396.2,24.6,59.4,61.8,53.6,53.6,44.7,43.6,29.6,17.1,8.2
"Perak",1999,715.4,232,459.3,16.7,7.4,715.4,49,101.1,96,95.5,94.9,88.5,75.5,58.1,34.2,22.8
"Perlis",1999,81.2,20.4,57.4,2.1,1.2,81.2,5.3,12,8.3,8.7,10.4,12,10.1,6.6,5,2.9
"Sabah",1999,1167.2,415.3,711,25.1,15.8,1167.2,113,225.6,215.6,182.9,146.6,109.3,74.8,48.7,30.4,20.3
"Sarawak",1999,906.9,309.6,567,15.9,14.4,906.9,76.7,151.9,146,128.7,115.2,97.9,73.6,57.6,34.9,24.4
"Selangor",1999,1455,535.9,882.7,22.4,14.1,1455,65,258.4,280.6,218.4,210.5,180.8,118,76.2,31.4,15.9
"Terengganu",1999,312.3,102.7,197,7.2,5.4,312.3,26.2,57.2,44.4,39.6,37.9,34,27.5,21.8,14.2,9.5
"W.P Kuala Lumpur",1999,710.4,289.5,399.8,11.8,9.1,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1999,42.9,13.4,28.3,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",2000,1222.4,474.8,716.5,19.7,11.4,1222.4,82.7,225.1,217.2,175.3,150,136.2,102.2,70.4,40.7,22.6
"Kedah",2000,645.2,191.6,431.3,14.5,7.8,645.2,44.7,92.1,90.2,86.3,88.1,75.8,71.4,46.7,29.8,20
"Kelantan",2000,437.2,102.5,312.2,13.7,8.8,437.2,31.1,51.2,48.9,54.8,60,55.9,50.8,39.5,27.8,17.2
"Melaka",2000,256.9,93.3,156.6,4.7,2.4,256.9,14.6,47.5,38.4,37.8,33.6,28.7,23.6,18.6,8.3,5.8
"N. Sembilan",2000,359.6,119.9,228.6,7.2,3.9,359.6,22.3,60.4,55.8,48.5,50.2,43.9,33,24.7,13.6,7.3
"P. Pinang",2000,682.3,285,375.3,14,7.9,682.3,39.7,131,125.3,99.1,81.2,69.6,59.1,40.2,22,15.3
"Pahang",2000,459.1,132.5,310.7,11,4.9,459.1,27,64.4,63.5,67,58.6,53,55.1,37,23.1,10.4
"Perak",2000,771.3,248.7,494.9,19.4,8.3,771.3,56,106.9,92.3,100.5,104.7,101.2,83.6,64.2,37.1,24.7
"Perlis",2000,77,17.3,56.7,1.9,1.1,77,4.3,10,9,9.7,10,10.5,9.5,5.7,4.9,3.5
"Sabah",2000,991.6,359.9,601.5,17.6,12.6,991.6,104.3,172.3,158.1,150.2,127.5,103.4,79.2,48.5,27,21.1
"Sarawak",2000,915.7,309,571.6,22.7,12.4,915.7,74.4,145.3,131.8,127.5,116.5,100.6,85.4,64.3,40.9,29.1
"Selangor",2000,1715.3,630.1,1045.9,23.4,15.9,1715.3,88.2,311.1,331.1,282,228.6,193.9,147.8,78.1,35.2,19.1
"Terengganu",2000,315.4,99.7,201.8,8.7,5.3,315.4,22.7,49.3,44.2,44.4,41.2,37.1,30.1,20.2,15.1,11.1
"W.P Kuala Lumpur",2000,680.4,286.7,375.8,9.5,8.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2000,26.7,7.8,18.1,0.3,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",2001,1279,486.9,760.2,21.9,9.9,1279,82.6,231.9,215.5,184.9,163.4,141.6,115.7,76.4,41.6,25.5
"Kedah",2001,727.4,220.6,482.6,13.7,10.3,727.4,52.7,114.2,93.1,95.4,94.4,88.7,79.5,54.5,34.5,20.5
"Kelantan",2001,448,109.5,316.5,14.1,7.8,448,28.9,52.5,47.7,55.9,58,59.2,48.6,44.5,33.2,19.6
"Melaka",2001,272.6,92.5,170.8,6,3.3,272.6,15.4,44.2,41.6,40.8,36.5,34,27,17.9,9.2,5.9
"N. Sembilan",2001,362.8,111.1,240.3,7.3,4,362.8,20.7,56.6,54.8,50.1,47.5,46,38.9,24.6,14.8,8.9
"P. Pinang",2001,733.3,277.1,432.2,12.6,11.3,733.3,39.1,117,132.1,117.5,98.8,85.6,62.8,43.1,23.7,13.7
"Pahang",2001,451.6,138.6,300.3,7.8,4.9,451.6,24.5,63.1,64.7,62.1,59.4,53.8,54.8,38,20.8,10.4
"Perak",2001,761.3,253.3,478.9,20.4,8.6,761.3,50.4,110.4,92.5,101.9,98.8,95.5,85.8,67.4,36.6,22
"Perlis",2001,85.9,20,61.9,2.4,1.5,85.9,5.7,10.7,7.4,9.2,12,12.3,11.1,8.7,5.3,3.5
"Sabah",2001,1048,358.6,651.6,23.2,14.8,1048,105.2,181,163,157,138.9,110.7,88.3,54.7,29.4,20
"Sarawak",2001,918,299.9,586.3,18.1,13.7,918,73.8,135.7,134.4,127.5,120,104.4,85.8,64.4,43.3,28.7
"Selangor",2001,1552.5,568.5,950,19.5,14.4,1552.5,71,254.7,308,262,220.1,174,132.5,80.6,32,17.6
"Terengganu",2001,307.1,94.5,199.9,7.4,5.2,307.1,22.9,48.6,39.4,42,43.4,37.9,27.7,20.6,15.8,8.8
"W.P Kuala Lumpur",2001,723.2,294.9,406.2,9.4,12.4,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2001,28.7,10.4,17.6,0.1,0.6,0,0,0,0,0,0,0,0,0,0,0
"Johor",2002,1259,442.1,785,18.3,13.7,1259,81.5,215.2,195.4,187.4,173.8,136.6,119.3,80.7,44.8,24.3
"Kedah",2002,666.5,194.1,448.1,14.5,9.8,666.5,46,99.8,82.5,79.6,85.6,89.1,76.3,52.6,29.2,25.8
"Kelantan",2002,439.7,105.8,309.5,14.3,10.1,439.7,26,53.1,48.4,55.7,58.5,54.3,49,43.5,30,21.3
"Melaka",2002,236.2,77.3,151.1,4.9,2.8,236.2,13.2,34.8,36.1,33.1,33.4,30.1,24.5,16.9,9.1,5
"N. Sembilan",2002,337.2,100.6,225.9,7.2,3.5,337.2,19.3,48.4,48.2,46.2,46.4,42.8,37.9,26.7,13.1,8.2
"P. Pinang",2002,657.2,266,369.7,12.2,8.9,657.2,26.5,110.4,126,104.2,86.3,67.7,59.6,43.2,21.8,11.4
"Pahang",2002,419,126.6,279.8,9.3,3.3,419,21.6,56.9,62.3,60.8,54.6,53.7,42.3,31,23.6,12.3
"Perak",2002,820.6,264,527.1,19.5,10,820.6,46.6,109.1,103,104.2,109.8,111.3,104.1,68.7,39.2,24.7
"Perlis",2002,58.8,13.5,43.2,1.4,0.7,58.8,4,7.3,6.1,7,6.4,8.2,8,5.6,3.9,2.5
"Sabah",2002,1093.2,402.2,648.3,25.2,17.3,1093.2,112,189.1,170.8,155.9,143.1,116.8,90.8,63.7,30.4,20.6
"Sarawak",2002,955.8,300.8,619.5,23.4,11.9,955.8,64.1,138.8,135.9,125.6,121.1,106.7,123.8,67,44.4,28.3
"Selangor",2002,1803.2,641.7,1116,26.1,18.9,1803.2,72.5,304.6,344.2,303.5,251.3,204.7,153.7,101.1,46.7,20.9
"Terengganu",2002,288.9,89.2,187,6.8,5.8,288.9,20.8,43.5,39.6,38.4,40,34.9,31.4,19.7,12.4,8.3
"W.P Kuala Lumpur",2002,816.9,346,447.2,11.9,11.7,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2002,34,12.1,20.8,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0
"Johor",2003,1315.3,480.1,798.3,23.3,13.5,1315.3,80.1,227.1,209.6,187.5,166.7,146.8,132.7,90.6,47.1,27
"Kedah",2003,680.1,210.8,445.5,14.1,9.7,680.1,45.2,99.7,92.2,89.9,92.3,81.6,75.1,52,29.3,22.8
"Kelantan",2003,491.6,124.3,340.9,15.4,10.9,491.6,31.8,64.2,54,60.9,64.4,60.7,55.6,45.1,34,20.9
"Melaka",2003,280.6,104.4,167.3,6,2.8,280.6,19.8,52.3,41,37,36.4,31.6,26.7,17.7,12.4,5.7
"N. Sembilan",2003,352.3,114.7,226.4,7,3.9,352.3,21.1,52.3,52,43,46.8,43.4,39.1,30.7,14.6,9.4
"P. Pinang",2003,686.3,257.3,404.3,16,8.7,686.3,25.5,107.8,128.8,100.7,93.6,75.1,70,48.8,24.7,11.4
"Pahang",2003,477.1,155.9,304.9,10.1,6.2,477.1,29.6,71.8,68.9,63.5,59.4,55.9,51.7,40.3,22.3,13.7
"Perak",2003,771.4,256.5,487.5,19.2,8.1,771.4,44.6,113.5,95,94.7,95.1,100,91.8,69.8,41.7,25.3
"Perlis",2003,80.1,20.6,56.1,1.9,1.5,80.1,5.2,11,9.2,9.1,9.5,12,8.7,7.4,4.5,3.4
"Sabah",2003,1134.5,416.8,675.7,22.4,18.9,1134.5,111.6,195.1,177.3,158.9,150.3,124.1,95.4,67,35,19.8
"Sarawak",2003,946.4,303.8,609.4,19.4,13.7,946.4,62.2,139.1,136,129.6,125.7,111.7,93.6,70.9,46.3,31.2
"Selangor",2003,1895.3,672.5,1176.3,30,16.4,1895.3,71.6,304.1,358.1,321.5,270.2,223.1,164,112.2,46,24.4
"Terengganu",2003,355.1,112.6,226.7,9.7,6.1,355.1,24.5,54.6,46.9,45.1,45.1,43.2,39.5,24.8,19.9,11.6
"W.P Kuala Lumpur",2003,740.3,302.8,416.8,10.6,10,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2003,33.3,14.3,18.1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",2004,1278.8,472.5,769.6,21.6,14.9,1278.8,70.4,207.2,214.1,188.8,163.8,144.9,122.3,89.7,48.3,29.3
"Kedah",2004,680.3,218.9,434.8,16.2,10.4,680.3,46.5,107.5,93.9,81.9,84.9,80.4,72.7,56.3,34.8,21.3
"Kelantan",2004,455.1,123.4,309.2,14.7,7.6,455.1,24.6,71.7,52.7,45,58.4,57,52.5,44.5,30.2,18.5
"Melaka",2004,269.5,92.3,168.2,5.4,3.6,269.5,14.5,43.3,42.6,36.7,35.9,31.8,27.7,20.3,10.8,6
"N. Sembilan",2004,373.6,124.3,236.9,7.3,5.1,373.6,18,58.4,59.1,51.4,47.6,44.6,41.2,30.6,15,7.7
"P. Pinang",2004,636.7,240,375.5,14.2,6.9,636.7,25.5,89.3,114.4,102.3,82.7,73.4,64,45.1,27.1,12.9
"Pahang",2004,544,171.6,354.7,11.3,6.3,544,36.7,81.7,75.6,71.5,71.5,64.1,57.8,43.4,25.9,15.7
"Perak",2004,818.3,287.1,502.7,18.2,10.3,818.3,48.3,132.7,104.2,95.7,107.3,98.4,91.7,71.6,41.5,26.9
"Perlis",2004,76.3,21.3,51.6,2.1,1.3,76.3,4.1,12.5,9.4,7.6,9.4,9.5,8.7,7.6,4.5,3.1
"Sabah",2004,1156.9,422.9,690.9,26.3,16.7,1156.9,109.7,202.5,177.2,156.7,151.1,128.8,100.6,70,38.5,21.7
"Sarawak",2004,955.2,299.6,621.1,19.3,15.2,955.2,56.7,139.1,138.9,130.3,127,112.9,96.8,74.4,47.8,31.1
"Selangor",2004,2028.1,681.2,1296.7,28.4,21.7,2028.1,81.1,266.3,372.7,351,296,242.8,201.4,134.5,56.5,25.8
"Terengganu",2004,347.9,112.9,218.7,10,6.3,347.9,20.1,57.6,48.8,41.6,46.5,41.8,35.2,28.7,17.1,10.5
"W.P Kuala Lumpur",2004,691.6,264.9,403.3,10.3,13,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2004,34,12.9,20.5,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",2005,1280,478.3,764.5,22.8,14.3,1280,64.7,199,217.1,190.5,170.8,149.4,124.7,90.7,47.8,25.5
"Kedah",2005,677.8,231,421.4,16.2,9.2,677.8,38.1,114.2,96.9,80,86.2,77.6,73,58.1,34.4,19.4
"Kelantan",2005,454.2,134,299.1,12.5,8.6,454.2,21.8,74.4,56.4,42.8,56.1,55,52.9,44.8,29.6,20.4
"Melaka",2005,274.5,95.9,169.4,6.6,2.5,274.5,10.5,44.6,43.8,39.6,37.7,32.4,27.5,20.7,11.8,5.9
"N. Sembilan",2005,386.7,137.8,236.8,6.6,5.5,386.7,19.9,65,62,52.8,47.7,43.7,40.9,30.9,15.6,8.2
"P. Pinang",2005,634.9,240.4,375.1,13,6.5,634.9,23.7,92.9,113.6,101.6,84.8,73.7,61.6,46.4,23.9,12.7
"Pahang",2005,542.7,200.6,326.7,11,4.3,542.7,28.7,101.9,81,66.5,67.4,62.4,55.4,41.8,23.7,14
"Perak",2005,828.8,298.5,503.3,19.5,7.5,828.8,42,142.3,112.5,95.3,105.2,98,91.5,74.4,43.3,24.2
"Perlis",2005,76.2,22.9,49.7,1.8,1.8,76.2,3.5,13.9,9.5,7.5,9.3,9.8,8.5,7,4.3,3
"Sabah",2005,1181.9,429.4,711.6,24.4,16.5,1181.9,108,202.6,189.2,163,151.3,130.8,102.2,74.3,37.6,22.8
"Sarawak",2005,950.3,294,624.6,18.5,13.3,950.3,45.8,135.5,140.3,130,127,118.9,99.9,74.4,48.4,30.2
"Selangor",2005,2048.8,722,1274,32.5,20,2048.8,77.2,254.7,379.7,356.8,296.4,261.7,203.7,141.2,56.7,20.6
"Terengganu",2005,353.1,118.1,221.9,8,5,353.1,17.5,61,54,40.3,45.1,42.4,37,28.9,16.7,10.1
"W.P Kuala Lumpur",2005,691.4,274.4,397.8,9.7,9.4,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2005,32.2,11.9,19.8,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",2006,1285.8,471.6,780.4,20.8,12.9,1285.8,54.3,203.5,218.8,190.1,171.1,150.9,125.5,92.6,49.8,29.2
"Kedah",2006,682.4,223.3,435.1,16,8,682.4,34.2,116.6,105.5,79.9,84.3,80.9,70,57.9,34.3,18.8
"Kelantan",2006,469.8,143.3,306,11.7,8.8,469.8,20.5,76.5,65.7,43.6,55.3,55.3,54.7,46.3,31.3,20.6
"Melaka",2006,276.7,99,167.7,6.1,3.9,276.7,12,43.5,44.9,38.6,37.5,32.7,28.8,21.7,11.4,5.6
"N. Sembilan",2006,394.5,140.5,240.4,7.4,6.1,394.5,16.3,65.4,65.2,52.3,49.5,45.3,41.7,32.3,17.7,8.7
"P. Pinang",2006,658.9,236.7,402.2,10.7,9.2,658.9,24.5,89.6,114.4,105.6,92,77.9,67.4,49.7,25,12.9
"Pahang",2006,571.3,211.9,343.4,10.9,5.1,571.3,27.5,103.1,87.1,68.6,70.5,64.2,57.8,46.3,28.3,17.8
"Perak",2006,845.5,306.7,508.6,22,8.1,845.5,41.3,141.4,119.4,97.2,101.4,99.5,92.8,78.9,45.9,27.6
"Perlis",2006,77,22.4,51.1,1.8,1.7,77,3.7,13.2,10.5,7.7,9.1,9.1,8.6,7.1,4.9,3.1
"Sabah",2006,1230.4,448.3,739.3,23.9,19,1230.4,105.3,217.6,198.5,169.8,152.3,134.9,106.5,79.6,43.1,22.8
"Sarawak",2006,958,303.9,620.9,20.5,12.7,958,49.3,136.2,140.1,129,124,119.1,100.2,78.9,50.1,31.1
"Selangor",2006,2084.4,715.2,1316,29.1,24.1,2084.4,59.5,270.4,382.2,362.4,307,264.1,212.7,143,59.1,24.2
"Terengganu",2006,364.6,120.8,230.8,7.3,5.7,364.6,16.9,58.9,59.4,42.6,46.2,44.2,38.3,29.9,17.4,10.9
"W.P Kuala Lumpur",2006,696.1,267.4,407.6,10,11,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2006,33.7,14.4,18.5,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",2007,1313.6,486.2,790.4,23.4,13.5,1313.6,48.5,209.8,225.6,187.4,174.1,156.9,130.7,98.4,53.3,28.8
"Kedah",2007,693.1,232.2,434.5,15.8,10.6,693.1,33.7,116.5,112,82.7,82.8,80.2,70.6,60,34.2,20.2
"Kelantan",2007,486.2,150.1,312.4,14.6,9.1,486.2,22.6,85,73.9,45.6,49.8,57.1,55.6,46,30.4,20.2
"Melaka",2007,290.4,102.1,179.8,4.9,3.7,290.4,12.4,46.7,48.6,39.1,38.1,34.4,29.5,23.2,11.8,6.5
"N. Sembilan",2007,395.8,144.1,238.8,7.2,5.6,395.8,16.2,64.8,65.7,53.5,50,44.5,41.5,34,16.6,8.9
"P. Pinang",2007,667.6,244.8,403.7,10.6,8.5,667.6,23.5,89.7,112,109.2,94,79.2,67.3,51,27.9,13.7
"Pahang",2007,580.2,199.2,359.7,14.9,6.4,580.2,24.1,97.7,96.2,72.4,69.4,68,59,47.6,29.4,16.4
"Perak",2007,877.9,322.9,520.7,23.4,10.9,877.9,37.4,147.5,133.2,97.9,100.6,101.2,94.8,82.2,52.3,30.8
"Perlis",2007,82.5,25.1,53.7,2.3,1.4,82.5,3.9,14.2,12.7,8.1,8.8,9.7,9.1,7.6,4.9,3.5
"Sabah",2007,1267.7,465.7,758,23.5,20.5,1267.7,107.8,210.2,203.8,174.2,159.5,145.3,112.1,86.1,45.4,23.2
"Sarawak",2007,997.4,307.2,653,19.5,17.8,997.4,50.2,139.1,145.7,135.9,130.7,123,105.7,83.1,51.4,32.6
"Selangor",2007,2128,741.9,1327.9,31.9,26.3,2128,59.6,253.9,378,366.5,318.8,272.9,224.1,161.6,69.7,23
"Terengganu",2007,372.7,125.2,231.7,9.1,6.8,372.7,16.7,61.9,63.1,44.3,44.2,43.3,38.9,31.3,18.3,10.9
"W.P Kuala Lumpur",2007,702.4,265.7,410.2,12,14.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2007,34.1,14,18.9,0.7,0.5,0,0,0,0,0,0,0,0,0,0,0
"Johor",2008,1313.1,480.7,791,24.3,16.9,1313.1,48.5,201.3,219.6,195.7,176.5,156.1,132.7,98.1,55.2,29.5
"Kedah",2008,703,233.5,443.2,15.8,10.5,703,30.9,116.9,119.3,84.3,77.9,83.6,73.3,63,35.2,18.6
"Kelantan",2008,500.9,154.3,321,15.5,10.1,500.9,19.3,84.8,86.1,49,47.3,58.5,53.9,49.2,32.1,20.6
"Melaka",2008,290,98.3,181.5,5.8,4.4,290,10.5,42.7,51.1,40.2,37.5,35.2,30.5,22.9,12.7,6.4
"N. Sembilan",2008,399.3,142.1,245.6,6.7,5,399.3,15.1,63.6,68.9,54.1,48.8,45.8,40.8,34.1,19.2,9.1
"P. Pinang",2008,688.4,248,415.3,12,13,688.4,22.5,90.3,114.3,111.1,95.9,82.9,72.5,54.1,28.9,15.9
"Pahang",2008,605.7,212.7,370.8,12.9,9.1,605.7,26.7,101,103.5,74.1,69.9,70.9,61.7,48.5,31.3,18.1
"Perak",2008,892.6,333.4,526,19.6,13.3,892.6,36.7,153.2,149.2,100.1,96.2,102.3,92.9,83.4,50,28.5
"Perlis",2008,84,25.1,55.1,2.2,1.6,84,4,14.1,14.6,8.2,8.5,10.2,9.1,7.5,4.7,3.1
"Sabah",2008,1294.2,475.7,777.9,21.1,19.3,1294.2,114,217.9,212.3,174.6,156.8,144.7,115.3,84.7,48.1,25.7
"Sarawak",2008,973,317.2,619.4,18.3,17.9,973,51.2,134.9,145.6,132,127,119.3,102.4,80.9,49.9,29.9
"Selangor",2008,2159.8,752.3,1340.5,37.3,29,2159.8,66,255.9,359.5,374.5,330.8,278.3,228.9,166.4,71.6,27.9
"Terengganu",2008,388.8,136,236.5,9.1,7.2,388.8,16.2,65.8,71.4,45.5,43.3,45.7,39,31.7,19.4,10.8
"W.P Kuala Lumpur",2008,701,274.1,402.9,10.4,13.6,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2008,34.5,12.4,20.9,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0
"Johor",2009,1350,490.7,816.5,25.9,16.9,1350,44.2,207.8,229.5,199.6,177.4,164.9,135.2,103,60.8,27.5
"Kedah",2009,732.6,243.8,459.6,17,12.1,732.6,31.6,118.5,128.2,92.5,80.4,82.5,74.5,64.1,39.9,20.4
"Kelantan",2009,517.8,158.5,333.6,15.3,10.4,517.8,21.4,84,97.2,54.4,45,58.5,54.6,49,33.1,20.6
"Melaka",2009,290.9,103.6,178,5.3,3.9,290.9,10.4,43.4,51.9,40.8,37.5,34.8,29.6,24,12.9,5.6
"N. Sembilan",2009,402.2,136.5,251.4,7.1,7.2,402.2,12.9,62.9,70.1,56.5,50.7,47.8,40.1,33.9,19.3,8
"P. Pinang",2009,707.1,247,432.5,14.5,13.1,707.1,18.6,89.9,115.9,112.8,104.5,87.8,72.1,58.3,31.2,16
"Pahang",2009,622.3,209.7,391.4,14.3,6.9,622.3,24.3,99.3,111,76.9,70.7,71.5,63.7,52.2,32.7,20.1
"Perak",2009,923.7,356.6,532.6,22,12.5,923.7,39.1,155.8,161.2,107.7,94.3,102.7,94.2,86.6,51.8,30.5
"Perlis",2009,84.3,26.6,54,2.1,1.6,84.3,3.8,14.1,15.5,9,7.8,9.9,9,7.2,4.7,3.3
"Sabah",2009,1345.3,471.9,827,25.3,21,1345.3,107.1,217.3,224.2,184.7,160.9,151.6,126.9,93.4,54.3,24.8
"Sarawak",2009,1024.2,314.5,673.6,19.3,16.8,1024.2,49.1,137.6,153.8,139.3,131.8,124.9,109.4,86.3,57.8,34.1
"Selangor",2009,2173.3,732.8,1376,34.3,29.9,2173.3,56.6,243.1,360.5,375.5,338.4,287.7,227.3,174.5,81.1,28.7
"Terengganu",2009,405.6,140.1,250.3,8.5,6.6,405.6,17.6,67.3,78.8,50.7,42,45.6,38.8,32.5,21.7,10.6
"W.P Kuala Lumpur",2009,698.3,258,414.1,10.5,15.7,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",2009,37.6,14.6,21.8,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0
"Johor",2010,1453.5,560.7,847.1,24.5,21.3,1453.5,50.8,239.4,272.8,208.9,182.3,160.2,140.9,106.3,62.8,29.1
"Kedah",2010,746.9,229.7,483.8,17.2,16.2,746.9,30.9,108.4,116.1,95.6,91.1,92,80.2,69.3,42,21.2
"Kelantan",2010,547.2,140.8,376.5,17.2,12.7,547.2,24,62.3,76.5,66,65.4,68.5,64.2,57.7,37.3,25.3
"Melaka",2010,338.6,123,203.2,6.7,5.7,338.6,16.5,52.7,60.1,43.3,39.2,39.9,36.6,27.7,15,7.5
"N. Sembilan",2010,418.3,144.9,260.9,7.4,5.1,418.3,18.4,66,70.8,57,50.2,45.1,42.4,36.6,21.5,10.3
"P. Pinang",2010,759,291.5,441.1,11,15.5,759,26.2,103.9,139,113.9,97.3,89.7,76.1,59.4,35,18.5
"Pahang",2010,608.4,214,373.2,13.3,7.9,608.4,26.1,90.7,117.5,80.8,69.6,64.3,59.9,49.2,30.3,20.2
"Perak",2010,906,322.3,551.3,19.9,12.4,906,34.7,135.3,134.2,112,107.3,105.2,105.2,87.3,52.1,32.7
"Perlis",2010,83.6,24.7,55.7,2,1.2,83.6,4.8,12.9,12.7,9.5,8.6,10,9.6,7.9,4.8,2.9
"Sabah",2010,1480.7,565.4,871.4,21.6,22.2,1480.7,141.6,265,303.3,197.9,167.9,137.7,116.6,85,44,21.6
"Sarawak",2010,1093.7,349.8,703.7,22.4,17.7,1093.7,59.2,158.7,169.6,135.5,136.8,127.6,114.1,90.8,63.1,38.3
