"ConState","Year","AllTotalMarital","NeverMarried","Married","Widow","DivorcePermSeparate","AllTotalAge","Age15to19","Age20to24","Age25to29","Age30to34","Age35to39","Age40to44","Age45to49","Age50to54","Age55to59","Age60to64"
"Kedah",1985,445.4,134.8,290.3,13.8,6.4,445.4,44.5,76.6,64.5,59.1,50.7,39.7,45.3,27.9,21.5,15.6
"Kelantan",1985,344.3,84.3,237.8,10.4,11.8,344.3,26,57.8,47.5,39.9,40.2,39.4,30.4,23.1,23.3,16.6
"Melaka",1985,180,71.1,102,4.7,2.3,180,19.9,39.5,27.6,20.7,18.6,16,14.3,10.5,8,5.1
"N. Sembilan",1985,221.1,73,138.6,7,2.5,221.1,19.8,38.6,34.2,32.4,27.9,22.4,21.2,12.7,8.8,3.2
"P. Pinang",1985,408.5,168.9,227,9.8,2.9,408.5,35.6,90.2,71.5,56.1,50,36.1,29.5,21.4,11.8,6.3
"Pahang",1985,342.7,121.2,210,8.3,3.1,342.7,42,66.2,54.7,47.8,40,30.8,28.7,15,10.4,7.1
"Perak",1985,713.1,250.2,434.3,21.6,7,713.1,82,124.1,104.2,92,82.5,64.1,61.3,49.8,33.5,19.5
"Perlis",1985,65.5,18.3,44.8,1.6,0.8,65.5,5.8,8.8,9.7,10.4,8.6,6.6,6.3,3.8,3.5,2.1
"Sabah",1985,431,146.8,265.8,11.7,6.8,431,52.9,79.8,78.6,61,41.7,37.5,31.1,23.7,14.5,10.1
"Sarawak",1985,632.7,214.4,393.4,16.1,8.9,632.7,102.6,114.5,91.6,78.4,64.1,55.1,43.9,35.7,27.3,19.5
"Selangor",1985,740.6,309.8,412.8,13.2,4.8,740.6,72.5,166.3,144.5,110.3,82.6,53,51.4,31.1,18.9,10
"Terengganu",1985,228.9,70.4,147.9,6,4.6,228.9,23.1,41.1,35.3,30.3,24.7,20.9,22.7,11.7,9.4,9.7
"W.P Kuala Lumpur",1985,509.7,241.1,257.1,8,3.5,0,0,0,0,0,0,0,0,0,0,0
"W.P Labuan",1985,16.3,6.7,9.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0,0
"Johor",1986,751.2,294.7,431.6,18.2,6.7,751.2,90.4,151.5,121.8,103.7,85.4,58.1,56.7,40.1,27,16.6
"Kedah",1986,455,144.8,293.7,11.5,5.1,455,43.9,79.5,63.8,58.7,53.4,45,42.8,31.5,23.5,12.9
